english,pos,twi
blare,VERB,yɛ dede
blaspheme,VERB,kasa tia Onyankopɔn
blast,NOUN,mframa tɛntɛ
blatant,ADJECTIVE,deɛ ɛho da hɔ
blindfold,VERB,kata ani; de ntoma kata ani 
blink,VERB,bɔ ani
birthday,NOUN,awoda
birthmark,NOUN,nsamanya
birthright,NOUN,awonya
bisect,VERB,twa mu mmienu
biscuit,NOUN,krakase
bit,NOUN,ketewa bi
bishop,NOUN,ɔsɔfopɔn
blacksmith,NOUN,ɔtomfoɔ; tomfoɔ 
beyond,PREPOSITION | ADVERB,nohoaa
bewitch,VERB,kyere nkabere
bias,NOUN,ntɛnkyea
bid,VERB,ma boɔ; bɔ boɔ a wobɛtua
bible,NOUN,Twerɛ Kronkron
betray,VERB,yi ma; yi obi ma
betrayal,NOUN,nyima
bigamy,NOUN,mprenu awareɛ bɔne; bɔne a ɛwɔ mprenu awareɛ mu
biennial,ADJECTIVE,deɛ ɛsi mfeɛ mmienu biara mu
bile,NOUN,bɔnwono 
bill,NOUN,ɛka 
bestseller,NOUN,nwoma a wɔtɔ pa ara 
bet,VERB,to nkyea 
betrothed,NOUN,deɛ wɔasi no asiwa
between,PREPOSITION | ADVERB,ntam
bevy,NOUN,ekuo
beverage,NOUN,anonneɛ
bewail,VERB,twa agyaadwoɔ
berserk,ADJECTIVE,hatuhatu
berth,NOUN,ɛhyɛn gyinabea
beseech,VERB,koto srɛ
beset,VERB,to hyɛ so 
besiege,VERB,tu kuro bi so sa 
bellicose,ADJECTIVE,otutupɛfoɔ
besmirch,VERB,gu ho fi
belong,VERB,wɔ 
belonging,NOUN,ahodeɛ
below,PREPOSITION | ADVERB,aseɛ
belt,NOUN,bɛlɛte 
bead,NOUN,ahwenneɛ
bemoan,VERB,su ho 
belly,NOUN,afuro
beauty,NOUN,ahoɔfɛ
bend,VERB,koa
bench,NOUN,akonnwa tenten
benediction,NOUN,nhyirasɛm
beach,NOUN,mpoano
beg,VERB,pa kyɛw
beak,NOUN,ntakraboa ano
beggar,NOUN,ɔdesrɛfoɔ 
bean-2,NOUN,aboa kɛseɛ; aboa huhuuhu 
ugliness,NOUN,ahoɔtan
beckon,VERB,to nsa frɛ
bed,NOUN,nnasoɔ
bedridden,ADJECTIVE,deɛ waka mpa mu
behave,VERB,da nneyɛɛ pa adi
behead,VERB,twa tire; twa tire firi so
behind,PREPOSITION | ADVERB,akyire
behold,VERB,hwɛ
belch,VERB,keesu
belittle,VERB,bu abomfeaa
bell,NOUN,adɔma
breakdown,NOUN,ɔsɛeɛ
breakfast,NOUN,anɔpa aduane
breathe,VERB,home
breastbone,NOUN,nnompekyɛm
brewery,NOUN,nsayɔbea
bribe,NOUN,adamudeɛ
bricks,NOUN,ntayaa
broker,NOUN,konkosini
butt,VERB,de tiri pem 
bronchitis,NOUN,menemuyareɛ
brothel,NOUN,agyantrafoɔfie
build,VERB,si; si dan 
canoe,NOUN,kodoɔ
bug,NOUN,nkaboa
cabinet,NOUN,adakawa a wɔde kora nneɛma 
cache,NOUN,akoraeɛ
campus,NOUN,suapɔn mu
canker,NOUN,nweweɛ
capable,ADJECTIVE,deɛ ɔtumi yɛ biribi 
capital,NOUN,kuropɔn; kuro kɛseɛ 
cannibal,NOUN,nipa a ɔwe nnipa nam 
canopy,NOUN,apata
cantankerous,ADJECTIVE,mansotweni 
cantata,NOUN,nnwontoɔ agodie
canteen,NOUN,adidibea
canvas,VERB,pere pɛ aba 
candle,NOUN,kyɛnere 
can,VERB,tumi 
canary,NOUN,kanaafo
cane,NOUN,mfea
canal,NOUN,asuka 
cancel,VERB,twa mu; twam 
candid,ADJECTIVE,nokorɛ turodoo
candidate,NOUN,dibeaperefoɔ 
camera,NOUN,kamɛra 
candour,NOUN,nokorɛdie
calendar,NOUN,kalɛnda 
calico,NOUN,nnwera
calibre,NOUN,nipaban 
callous,ADJECTIVE,deɛ ɔnni ahummɔborɔ
callow,ADJECTIVE,deɛ ɔnnim hwee
camouflage,NOUN,nkatasoɔ
camp,NOUN,nsraban
campaign,NOUN,ɔsatuo
camphor,NOUN,kamfa 
cackle,VERB,kwane; kwan 
cafe,NOUN,beaeɛ a wɔtɔn nnuane ne anonneɛ
cage,NOUN,ebuo; buo
cajole,VERB,daadaa
calabash,NOUN,koraa
calamity,NOUN,atoyerɛnkyɛm
bygone,ADJECTIVE | NOUN,deɛ atwam
calculate,VERB,sese
button,NOUN,bɔton 
calculation,NOUN,akontabuo
buxom,ADJECTIVE,ɔbaa a ne nufu soso
by,ADVERB,ho
bye-bye,EXCLAMATION,baabae 
by-name,PHRASE,de obi/biribi din… 
by-law,NOUN,mmara a mansini bi ahyehyɛ 
byzantine,ADJECTIVE,nwonworann
bush,NOUN,nwura mu; nwuram; wuram
cab,ADJECTIVE,taksi 
businesslike,ADJECTIVE,deɛ n’ani ku n’adwuma ho
bursar,NOUN,deɛ ɔhwɛ sikasɛm ntotoeɛ so wɔ sukuu/suapɔn mu
burst,VERB,pae
butcher,NOUN,nankwaseni
bury,VERB,sie
bus,NOUN,bɔɔso 
business,NOUN,obi adwuma 
busy,ADJECTIVE,deɛ ɔnni adagyeɛ
busybody,NOUN,deɛ ɔwurawura afoforɔ nsɛm mu
building,NOUN,ɛdan 
builder,NOUN,ɔdansifoɔ 
bulk,NOUN,pii
bulge,NOUN,deɛ apuo
bulky,ADJECTIVE,kuntann
bullet,NOUN,akoraboɔ
bulletin,NOUN,kaseɛbɔ apɔsoapɔso 
bullion,NOUN,sikapoma
bullock,NOUN,nantwinini a wɔasa no
bully,NOUN,ohunahunafoɔ
bumper,ADJECTIVE,mmorosoɔ
bumptious,ADJECTIVE,deɛ ɔbɔ ɔno ara ne ho nsammrane
bunch,NOUN,ekuo 
bungalow,NOUN,ɛdankora
burden,NOUN,adesoa
burglar,NOUN,ɔkorɔmfoɔ; korɔmfoɔ
burial,NOUN,afunsie
burrow,NOUN,ɛbɔn
brotherhood,NOUN,onuadɔ
bruise,NOUN,honam ani ntwitwiiɛ
brush,NOUN,borɔɔso 
brute,NOUN,deɛ ɔnnwene nnipa ho
buckle,NOUN,bɔgere 
bring,VERB,fa bra
budget,NOUN,sikasɛm ho ntotoeɛ
buffoon,NOUN,ɔkwasea
brighten,VERB,hyerɛn; ma ɛhyerɛn 
brilliant,ADJECTIVE,deɛ ɛhyerɛn pa ara 
brim,NOUN,ano pɛɛ
brine,NOUN,nkyene nsuo
brink,NOUN,mpɔmpɔnsoɔ
broad,ADJECTIVE,tɛtrɛtɛ; tɛtrɛɛ; deɛ ɛtrɛ
brisk,ADJECTIVE,deɛ ne ho yɛ hare
broadcast,VERB,bɔ dawuro
broil,VERB,toto
bricklayer,NOUN,ntayaagufoɔ
bridge,NOUN,ɛtwene; twene
breath,NOUN,ahome
bridle,NOUN,pɔnkɔ ti nkɔnsɔnkɔnsɔn
brief,ADJECTIVE,tiawa
brigand,NOUN,nwuramukafoɔ
briefcase,NOUN,nwoma ne nkrataa kotokuo/baage
bright,ADJECTIVE,deɛ ɛyɛ hann; 
breed,VERB,yɛne
brew,VERB,noa nsa
brethren,NOUN,anuanom akristofoɔ 
breviary,NOUN,mpaebɔ/asɔre dwontoɔ nwoma
brevity,NOUN,tiawa
cattle,NOUN,anantwie
cargo,NOUN,adwadeɛ kɛseɛ
capsize,VERB,butu; dane butu
castigate,VERB,twi anim
catapult,NOUN,taya
cataract,NOUN,ɛtɛ 
castle,NOUN,abankɛseɛ
caution,NOUN,ahwɛyie
casual,ADJECTIVE,deɛ wɔyɛ no biara-biara
clap,VERB,bɔ nsam
clock,NOUN,ɛdɔn; dɔn
cement,NOUN,sɛmɛnte 
chancellor,NOUN,opanin; panin
charlatan,NOUN,ɔdaadaafoɔ
charm,NOUN,deɛ ɛkyere adwene 
cheque,NOUN,sikayie tumi krataa
cheerful,ADJECTIVE,deɛ ɔwɔ anigyeɛ mu 
clinic,NOUN,ayaresabea
club,NOUN,aporibaa 
clot,NOUN,mogya a ada 
clumsy,NOUN,nwonworann; deɛ ɛyɛ nwonworann
clue,NOUN,akwankyerɛdeɛ
cluster,NOUN,deɛ ɛbobɔ ho
coagulate,VERB,da
coach,NOUN,deɛ ɔtete agodifoɔ
coal,NOUN,bidie
clarify,VERB,kyerɛkyerɛ mu
clasp,VERB,fam; kyere fam; ka fam 
clash,VERB,bɔ mpunimpu 
class,NOUN,gyinapɛn 
claw,NOUN,bɔwerɛ; aboa bɔwerɛ
clear,ADJECTIVE,emu da hɔ; deɛ emu da hɔ 
clench,VERB,moa nsa
clever,ADJECTIVE,deɛ waben
circumstance,NOUN,deɛ nti
circumspect,ADJECTIVE,ahwɛyie
climate,NOUN,ewiem nsakraeɛ
circumvent,VERB,kwati
cistern,NOUN,ankorɛ
civil,ADJECTIVE,deɛ ɛfa kuromma ho
city,NOUN,kuropɔn
civilian,NOUN,ɔman ba a ɔnyɛ ɔsraani
claim,VERB,ka
clandestine,ADJECTIVE,kokoam; deɛ wɔyɛ no kokoam
clan,NOUN,abusuakuo
chop,VERB,twitwa 
chop-money,NOUN,akɔnhoma
christendom,NOUN,akristofoɔ
christen,VERB,to din
chicken,NOUN,akokɔ 
chronic,ADJECTIVE,koankorɔ; deɛ ɛyɛ koankorɔ
chronicle,NOUN,nsɛm/abakɔsɛm a wɔatwerɛ no nnidisoɔ nnidisoɔ
chunk,NOUN,ɛfa kɛseɛ
church,NOUN,asɔredan 
childish,ADJECTIVE,nkwadaasɛm; deɛ ɔyɛ nkwadaasɛm
circulate,VERB,di aforosiane 
circulation,NOUN,aforosiane
cherish,VERB,ma ɛsom bo 
chief,NOUN,ɔhene 
childhood,NOUN,nkwadaaberɛm
choir,NOUN,asɔre mu nnwontokuo
choke,VERB,hia
choose,VERB,pa; paw
charter,NOUN,anodisɛm 
chaste,ADJECTIVE,deɛ ɔmmɔ adwaman
chastise,VERB,twe aso 
chat,VERB,twetwe nkɔmmɔ
chant,VERB,kankye
chauffeur,NOUN,ankorɛankorɛ drɔbani
character,NOUN,su; suban 
chauvinist,NOUN,deɛ ɔdɔ ne man boro so
cheer,VERB,bɔ ose 
check,VERB,ma ani di akyire
change,VERB,sesa; sesa mu
channel,NOUN,nsuka
chapel,NOUN,asɔredan
chaos,NOUN,basabasayɔ
charcoal,NOUN,bidie 
charge,VERB,twa boɔ ma obi tua 
charity,NOUN,adɔeɛ 
certificate,NOUN,adansedie krataa
chaff,NOUN,nwira 
chain,NOUN,nkɔnsɔnkɔnsɔn 
chairman,NOUN,otitenani; titenani
chairwoman,NOUN,ɔbaa titenani
chamber,NOUN,piam 
chamber-and-hall,PHRASE,piam ne asa 
chamberpot,NOUN,kuruwaba
champion,NOUN,ɔkandifoɔ 
chance,NOUN,deɛ ɛbɛtumi asi 
cemetery,NOUN,asieeɛ
cenotaph,NOUN,nkaedum a wɔsi de kae nnipa a wɔawu wɔ kono 
certain,ADJECTIVE,wɔ mu ahotɔsoɔ; deɛ wowɔ mu ahotɔsoɔ 
census,NOUN,nnipakan
celebrate,VERB,gye ani
centenary,NOUN,mfeha
centenarian,NOUN,deɛ wadi mfeɛ ɔha
central,ADJECTIVE,deɛ ɛdi akotene 
ceramic,ADJECTIVE,deɛ wɔde dɔteɛ anwene 
ceremony,NOUN,afahyɛ
celibate,NOUN | ADJECTIVE,deɛ ɔdi sigya na ɔnni mpa mu agorɔ
cave,NOUN,ɔbodan
cease,VERB,gyae
celebration,NOUN,ahurusibɔ
catch,VERB,kye
celebrated,NOUN,deɛ wagye din
celibacy,NOUN,sigyadie a ɔhyɛ nnim; sigyadie a ahyiadie nnim
carol,NOUN,buronya dwom
cell,NOUN,afiase dan ketewa bi 
catarr,NOUN,papu
catastrophe,NOUN,atoyerɛnkyɛm
category,NOUN,ekuo 
cater,VERB,hwɛ 
carnage,NOUN,mogyahwieguo
carnival,NOUN,afahyɛ
carpet,NOUN,kapɛte 
carpenter,NOUN,dua dwomfoɔ
carton,NOUN,adaka
cash,NOUN,sika
cartoon,NOUN,deɛ wɔadrɔɔ de yi aseresɛm
careful,ADJECTIVE,ahwɛyie; deɛ ɔyɛ ahwɛyie
cashier,NOUN,deɛ ɔtua sika
captain,NOUN,ɔsahene; sahene
captive,NOUN | ADJECTIVE,deɛ wɔakyere no dommum
captor,NOUN,deɛ wakyere ɔfoforɔ dommum
carcass,NOUN,efunu; aboa bi funu
care,NOUN,tema
caress,VERB,miamia
card,NOUN,kaade 
caretaker,NOUN,ɛdan so hwɛfoɔ
coalesce,VERB,ka bɔ mu; ka bom
coalition,NOUN,nkabom
coffee,NOUN,kɔfe 
coax,VERB,korɔkorɔ
college,NOUN,sukuupɔn
collide,VERB,pem
colour,NOUN,ahosuo
coma,NOUN,nnahɔɔ
combat,NOUN,ɔko
combatant,NOUN,ɔkofoɔ 
combine,VERB,ka bɔ mu; ka bom 
comfortable,ADJECTIVE,deɛ ɛma asomdwoeɛ
compliance,NOUN,nnyetom
comic,ADJECTIVE,deɛ ɛma nnipa sere; deɛ ɛma sereɛ
comprehensive,ADJECTIVE,deɛ emu dɔ
complicate,VERB,ma ɛyɛ nwonworann
conceive,VERB,fa afuro; nyinsɛn 
concentrate,VERB,de adwene si biribi pɔtee so
concern,NOUN,dadwene 
conciliate,VERB,dwo akoma
concise,ADJECTIVE,tiawa
conclude,VERB,wie
conclusion,NOUN,ne korakora 
concord,NOUN,asomdwoeɛ nhyehyɛeɛ; asomdwoeɛ nteaseɛ 
concoct,VERB,bɔ srɛ mu ka; bɔ srɛm ka 
condemn,VERB,kasa tia 
condition,NOUN,tebea
condole,VERB,ma yaakɔ 
condolence,NOUN,ogyam
conduct,NOUN,nneyɔ 
condone,VERB,bu ani gu bɔneyɔ so
confectionery,NOUN,adɔkɔdɔkɔdeɛ
conference,NOUN,nhyiamu
compromise,NOUN,nteaseɛ
confer,VERB,ma abɔdin
confession,NOUN,bɔneka 
confess,VERB,pae mu ka bɔne
compress,VERB,mia
compulsory,ADJECTIVE,deɛ ɛyɛ ɔhyɛ
compute,VERB,sese
comrade,NOUN,ɔyɔnkoɔ; yɔnkoɔ
con,VERB,bu
conceal,VERB,sie 
compose,VERB,twerɛ dwom; hyehyɛ dwom 
concede,VERB,gye tom 
conceited,ADJECTIVE,deɛ ɔgye ne ho di
complicity,NOUN,bɔneboa
compilation,NOUN,deɛ wɔaboa ano
compliment,NOUN,nkamfoɔ
complain,VERB,kwane
component,NOUN,ɔfa bi
composite,ADJECTIVE,deɛ nneɛma ahodoɔ ka bom yɔ
comprehend,VERB,te aseɛ 
compound,NOUN,adihɔ hɔ 
comprehension,NOUN,nteaseɛ
complacent,ADJECTIVE,deɛ ne tirim yɛ no dɛ
complacency,NOUN,atirimuɔdɛ
complaint,NOUN,soboɔ
complainant,NOUN,deɛ ɔbɔ soboɔ
complete,VERB,wie
complex,ADJECTIVE,deɛ nwonworann
complexion,NOUN,honam ahosuo
comply,VERB,di so; di mmara/nhyehyɛeɛ so
company,NOUN,adwumakuo 
compare,VERB,de toto ho; fa toto ho
compassion,NOUN,ahummɔborɔ
compassionate,ADJECTIVE,deɛ ɔwɔ ahummɔborɔ
compete,VERB,si akan
compatriot,NOUN,ɔman ba 
compel,VERB,hyɛ
compatible,ADJECTIVE,deɛ ɛfa; deɛ ɛka 
competition,NOUN,akansie
communicate,VERB,di nkutaho
compile,VERB,boa ano
commiserate,VERB,hu mmɔbɔ
commit,VERB,yɛ bɔne 
community,NOUN,mpɔtam
companion,NOUN,ɔhokafoɔ
command,NOUN,ɔhyɛ
committee,VERB,agyinatukuo
commodity,NOUN,adwadeɛ 
commotion,NOUN,basabasayɔ
common,ADJECTIVE,deɛ abu soɔ 
comment,VERB,ka ho asɛm
commute,VERB,di akɔneaba
commando,NOUN,asraafoɔ a wɔtu sa
commemorate,VERB,hyɛ fa
commemoration,NOUN,nkaeɛ
commence,VERB,firi aseɛ
commend,VERB,yi ayɛ
commerce,NOUN,dwadie
combination,NOUN,nkabom
comedian,NOUN,deɛ ɔyi aseresɛm
comfort,VERB,kyekye werɛ
coffin,NOUN,efunu adaka
colleague,NOUN,afɛ
cobra,NOUN,oprammire
coincide,VERB,hyia mu; hyiam 
colic,NOUN,ayamhyɛ
cola,NOUN,bese
collaborate,VERB,yɛ adwuma bɔ mu
collapse,VERB,twa hwe; bu hwe 
collapsible,ADJECTIVE,deɛ wɔtumi bobɔ
collect,VERB,boaboa ano 
cobweb,NOUN,ntontan
cocaine,NOUN,adubɔne 
cockpit,NOUN,wiemhyɛn drɔba atenaeɛ; wiemhyɛn drɔba tenabea 
cocoa,NOUN,kookoo 
code,NOUN,mmara 
coerce,VERB,hyɛ 
confident,ADJECTIVE,deɛ ɔgye ne ho di
confidence,NOUN,akokoɔduro
confide,VERB,de werɛ hyɛ obi mu
congest,VERB,hyɛ (ɛdɔm) boro so 
congestion,NOUN,dɔmpemmɔ mu ahokyerɛ; ahokyerɛ
congested,ADJECTIVE,deɛ ayɛ hwanyann
conserve,VERB,kora
conscience,NOUN,tibua
conquer,VERB,di so
consider,VERB,dwene ho 
constitution,NOUN,ɔmammara
contain,VERB,kora
container,NOUN,ankorɛ 
contribute,VERB,to boa
contribution,NOUN,ntoboa
contrition,NOUN,ahonu
control,NOUN,tumi 
core,NOUN,mimfini 
cooper,NOUN,ankorɛyɛfoɔ
copy,NOUN,sɛso; biribi sɛso
copra,NOUN,kubedwe a awoɔ
cordial,ADJECTIVE,deɛ ɔpɛ nnipa
cork,NOUN,nsatire 
corn,NOUN,aburoo
cook,VERB,noa
cob,NOUN,aburodua
cool,VERB,dwo 
corner,NOUN,ahyiaeɛ so 
cornet,NOUN,abɛn 
convocation,NOUN,nhyiamu kɛseɛ 
convenient,ADJECTIVE,deɛ ɛfata
convulse,VERB,woso; wosowoso
convoy,NOUN,yidɔm
coop,NOUN,mmoa buo 
co-operate,VERB,di nsawɔsoɔ
cop,NOUN,opolisini 
copper,NOUN,kɔbere
coppersmith,NOUN,kɔbere dwomfoɔ
convent,NOUN,ahotefoɔ fie
convey,VERB,soa kɔ 
converge,VERB,hyia mu
conversant,ADJECTIVE,deɛ ɔwɔ biribi ho nimdeɛ 
conversation,NOUN,nkɔmmɔ
convict,VERB,bua fɔ 
convert,VERB,sesa
conviction,NOUN,gyedie; obi gyedie 
contusion,NOUN,honam ani wɔtereeɛ
convince,VERB,ma obi hu biribi mu nokware 
convalesce,VERB,gye ahome 
continuation,NOUN,ntoasoɔ
convalescence,NOUN,ahosan berɛ
convention,NOUN,nhyiamu 
controversy,NOUN,ntawantawa
convene,VERB,hyia mu; hyiam 
contradict,VERB,bɔ abira
contents,NOUN,deɛ ɛwɔ mu
contest,NOUN,akansie
continent,NOUN,asasetam
contraceptive,NOUN,aduro a ɛsi nyinsɛn ano kwan
contraband,NOUN,nneɛma a wɔkra no kwammɔne so
contract,NOUN,nhyehyɛeɛ
contravene,VERB,bu (mmara/nhyehyɛeɛ) so
contrary,ADJECTIVE,ɛbɔ abira; deɛ ɛbɔ abira
contaminate,VERB,gu fi; ma ɛyɛ fi 
contamination,NOUN,figuo 
contemn,VERB,di ho fɛw
contemporary,NOUN,tipɛn; afɛ 
contemplate,VERB,dwene ho
contempt,NOUN,animtiabuo
contend,VERB,di apereapere
content,ADJECTIVE,bo dwo
construct,VERB,si 
construe,VERB,nya nteaseɛ pɔtee bi 
construction,NOUN,ɛdan 
consult,VERB,pɛ/bisa mmoa firi 
consultant,NOUN,ɔfotufoɔ 
consultation,NOUN,nkutahodie 
consume,VERB,di 
consumptive,NOUN | ADJECTIVE,deɛ ɔyare ne koko
contagious,ADJECTIVE,deɛ ɛsiane; deɛ ɛtumi siane afoforɔ
consideration,NOUN,adwennwene
consderate,ADJECTIVE,deɛ ɔwɔ ahummɔborɔ
console,VERB,kyekye werɛ
conspicuous,ADJECTIVE,deɛ ɛho da hɔ
constant,ADJECTIVE,deɛ ɛnsesa 
constellation,NOUN,nsoromma akuoakuo
consternation,NOUN,akomatuo
consecrate,VERB,te ho
consecration,NOUN,adwira
constituency,NOUN,abatoɔ mpasua; mpasua
conscientious,ADJECTIVE,deɛ n’ani ku n’adwumayɔ ho
conscious,ADJECTIVE,ani da hɔ; deɛ n’ani da hɔ
consciousness,NOUN,anidahɔ
consecutive,ADJECTIVE,nnidisoɔ-nnidisoɔ
consent,NOUN,peneɛ
consensus,NOUN,bɛnkorɔ mu
congratulate,VERB,ma amo
congratulation,NOUN,mo-ne-yɔ
congress,NOUN,nhyiamu
confirmation,NOUN,nnyetom
congregate,VERB,hyia mu; hyiam
conjure,VERB,kankye; 
connect,VERB,ka bom
confine,VERB,si ano trɛ 
confirm,VERB,si so dua 
connive,VERB,boa bɔne
conform,VERB,di mmara so 
confront,VERB,ka anim; 
confuse,VERB,ma adwene yɛ naa
congeal,VERB,da 
coronation,NOUN,ahensie
corporal,NOUN,asraafoɔ panin 
corporate,ADJECTIVE,deɛ ɛfa nnwumakuo ho
corporation,NOUN,adwumakuo kɛseɛ 
creator,NOUN,ɔbɔadeɛ
countless,ADJECTIVE,deɛ ɛnni ano
corridor,NOUN,abrannaa
counterpart,NOUN,nsɛsoɔ
country,NOUN,ɔman 
crime,NOUN,bɔne; bɔne kɛseɛ
covenant,NOUN,apam
creche,NOUN,mmotafowa sukuu
credential,NOUN,abɔdin krataa
crib,NOUN,akɔkoaa mpa 
crisis,NOUN,asɛnkɛseɛ
dare,VERB,si bo yɛ
critic,NOUN,ɔsamufoɔ
daring,ADJECTIVE,deɛ n’ani yɛ den 
dark,ADJECTIVE,tumm
date,NOUN,ɛda; da 
darkness,NOUN,esum
darling,NOUN | ADJECTIVE,ɔdɔfoɔ
customer,NOUN,ɔdetɔfoɔ
dart,NOUN,ammirika ntɛntɛ 
daylight,VERB,adekyeeɛ 
dawdle,VERB,sɛe berɛ wɔ nanteɛ mu
daze,VERB,biri ani so; ma obi ani so biri no
curve,NOUN,deɛ ɛntene
custom,NOUN,amanneɛ
cute,ADJECTIVE,deɛ ne ho twa
cyclone,NOUN,kyinhyiamframa
dabble,VERB,fa nsa/nan hyɛ/to/bɔ nsuo mu 
dagger,NOUN,sekantia
dad,NOUN,agya
daft,NOUN,deɛ wagyimi 
daily,ADJECTIVE,daadaa
dainty,ADJECTIVE,ketewa fɛɛfɛ
dam,NOUN,nsuban
damage,VERB,sɛe; sɛesɛe
dame,NOUN,abodin a wɔde ma mmaa
damn,VERB,dome 
damp,ADJECTIVE,deɛ afɔ kakra 
dandruff,NOUN,ɛhoa
dandy,NOUN,ɔbarima a n’ani wɔ n’ahosiesie ho pa ara
danger,NOUN,asiane
cumulate,VERB,boa ano
dangerous,ADJECTIVE,deɛ ɛyɛ hu
cunning,ADJECTIVE,deɛ ɔyɛ dadaafoɔ
curse,VERB,bɔ dua
cure,VERB,sa (yareɛ)
curious,ADJECTIVE,deɛ ɔyɛ mfeefeemu
curiosity,NOUN,asɛmpɛ
currency,NOUN,sika; ɔman bi sika
current,ADJECTIVE,deɛ ɛwɔ soɔ
crown,NOUN,ahenkyɛ 
curtain,NOUN,atwantam
curtail,VERB,brɛ ase
crook,NOUN,deɛ obu afoforɔ
crooked,ADJECTIVE,deɛ akoa
cross,NOUN,mmeamu
crowd,NOUN,ɛdɔm
crucial,ADJECTIVE,deɛ ɛdi akotene
cub,NOUN,gyataba 
cud,NOUN,mpuwesa
cuckoo,NOUN,abuburo
cuddle,VERB,fam; fomfam
culpable,ADJECTIVE,deɛ ɔsɛ soboɔ; 
culprit,NOUN,bɔneyɛfoɔ
cultivate,VERB,dɔ (afuo)
culture,NOUN,amammerɛ
cultivation,NOUN,kuayɛ
cumbersome,ADJECTIVE,deɛ emu yɛ duru 
crude,NOUN,fango 
crucify,VERB,bɔ asɛnnua mu
cruel,ADJECTIVE,deɛ ne tirim yɛ den
cruelty,NOUN,atirimuɔden
crumb,NOUN,mporoporowa
credit,NOUN,bosea 
crumble,VERB,poroporo
crusade,NOUN,ɔsatuo
crumple,VERB,moamoa
crush,VERB,sɛe
cryptic,ADJECTIVE,deɛ ne nteaseɛ yɛ den
credible,ADJECTIVE,deɛ gyedie wɔ mu
creed,NOUN,gyedie
creep,VERB,wea 
cremate,VERB,hye funu
cremation,NOUN,afunhye
crematorium,NOUN,beaeɛ a wɔhye funu
cover,VERB,bua so
coverlet,NOUN,adasoɔ
covert,ADJECTIVE,ahinta; deɛ ahinta
craft,NOUN,adwinnie
cowherd,NOUN,nantwikafoɔ
covet,VERB,ma ani bere obi adeɛ
cow,NOUN,nantwibaa
crazy,ADJECTIVE,deɛ wabɔ dam
cowry,NOUN,sedeɛ
cradle,NOUN,akɔkoaa mpa
crack,VERB,pae
crafty,ADJECTIVE,ɔdaadaafoɔ; deɛ ɔyɛ daadaafoɔ
crave,VERB,ma kɔn dɔ yie
crawl,VERB,wea
craze,NOUN,biribi ho dam
cream,ADJECTIVE,nku 
creak,VERB,kasa
creation,NOUN,adebɔ 
creature,NOUN,abɔdeɛ
countryman,NOUN,temammuni
coup-detat,NOUN,abantuguo
couple,NOUN,awarefoɔ; awarefoɔ baanu 
courageous,ADJECTIVE,deɛ ɔwɔ akokoɔduro
court,NOUN,asɛnnibea 
courtesy,NOUN,obuo
counsel,NOUN,afotuo
courteous,ADJECTIVE,deɛ ɔbu adeɛ
corrupt,ADJECTIVE,deɛ ɔde ne ho hyɛ porɔeɛ mu
cosmology,NOUN,wiase mfitiaseɛ ho nimdeɛ
corruption,NOUN,kɛtɛasehyɛ
cost,NOUN,ɛboɔ 
cot,NOUN,nkwadaa mpa
correction,NOUN,ateneatene
correspondence,NOUN,nsɛsoɔ 
cotton,NOUN,asaawa
count,VERB,kan 
corpse,NOUN,efunu; funu
countenance,NOUN,anim 
correct,ADJECTIVE,deɛ ɛtene
correspond,VERB,ne obi di nkrataatwerɛ 
corrode,NOUN,hi
deceit,NOUN,nnaadaa
decade,NOUN,mfenhyia du
debit,VERB,te sika firi fotoɔ mu 
debtor,NOUN,ɔkafoɔ
debut,NOUN,dwumadie a ɛdi kan
decoration,,asiesie
deface,,sɛe ani
defame,,sɛe din
deceive,VERB,daadaa
dementia,,adwenemuka
delude,,daadaa
defile,,gu fi; gu (obi/biribi) ho fi 
delegate,,nanmusini
defamation,,edinsɛeɛ; dinsɛeɛ
delegation,,ananmusifoɔ
den,,ɛbɔn; mmoa bɔn
depend,,de ho to so 
depart,,kɔ
department,,nkorabata
deposit,,ntoaseɛ 
dependable,,deɛ ne mu wɔ ahotɔsoɔ
depict,,kyerɛ
deplete,,ma ɛsa
depress,,ma werɛ ho 
deplore,,kasa tia
deplorable,,deɛ ɛnyɛ koraa
deport,,pamo 
depot,,akoraeɛ
depreciate,,ma ɛso te
depreciable,,deɛ ɛso tumi te
deprive,,kame; de kame
depth,,emu dɔ; biribi bu dɔ
depute,,de obi si w’ananmu
deputation,,ananmusifoɔ
derail,,ma keteke te firi n’akwan mu; ma keteke nya akwanhyia 
deride,,si atwetwe; tweetwee 
deny,,ɛnnye ntom; ka sɛ ɛnyɛ nokorɛ 
denominate,,bɔ din; to din 
denomination,,ɔsom kuo; ɔsom kuo pɔtee bi 
denote,,gyina hɔ ma
denounce,,kasa tia; kasa tia wɔ badwam 
dense,,deɛ apee so 
dentist,,ɛse dɔkota
denude,,gye ne nyinaa 
demean,,bu animtia
deodorant,,honam nka bɔne aduro
delusion,,ntorɔ
deluxe,,adepa a ne boɔ yɛ den
delve,,wura mu; wurawura mu 
demand,,bisa 
demarcate,,to hyeɛ 
demeanour,,su
dement,,bɔ dam
demented,,deɛ n’adwene mu ka no
demise,,owuo
democracy,,ka-bi-ma-menka-bi amammuo
demolish,,dwiri gu
delete,,popa 
demolition,,dwiriguo
demon,,sunsummɔne
